,Date,Total
841,09/17/2011,37
842,09/19/2011,414
843,09/20/2011,318
844,09/21/2011,315
845,09/22/2011,309
846,09/23/2011,329
847,09/24/2011,35
848,09/26/2011,379
849,09/27/2011,371
850,09/28/2011,341
851,09/29/2011,354
852,09/30/2011,319
853,10/01/2011,50
854,10/03/2011,403
855,10/04/2011,318
856,10/05/2011,303
857,10/06/2011,347
858,10/07/2011,381
859,10/08/2011,44
860,10/10/2011,450
861,10/11/2011,297
862,10/12/2011,366
863,10/13/2011,359
864,10/14/2011,304
865,10/15/2011,50
866,10/17/2011,392
867,10/18/2011,320
868,10/19/2011,284
869,10/20/2011,346
870,10/21/2011,327
871,10/22/2011,39
872,10/24/2011,422
873,10/25/2011,296
874,10/26/2011,357
875,10/27/2011,333
876,10/28/2011,310
877,10/29/2011,64
878,10/31/2011,418
879,11/01/2011,325
880,11/02/2011,314
881,11/03/2011,320
882,11/04/2011,354
883,11/05/2011,50
884,11/07/2011,507
885,11/08/2011,326
886,11/09/2011,256
887,11/10/2011,379
888,11/11/2011,293
889,11/12/2011,28
890,11/14/2011,440
891,11/15/2011,365
892,11/16/2011,386
893,11/17/2011,330
894,11/18/2011,337
895,11/19/2011,60
896,11/21/2011,409
897,11/22/2011,348
898,11/23/2011,326
899,11/25/2011,333
900,11/26/2011,60
901,11/28/2011,478
902,11/29/2011,420
903,11/30/2011,342
904,12/01/2011,391
905,12/02/2011,375
906,12/03/2011,39
907,12/05/2011,463
908,12/06/2011,320
909,12/07/2011,360
910,12/08/2011,312
911,12/09/2011,340
912,12/10/2011,53
913,12/11/2011,2
914,12/12/2011,421
915,12/13/2011,346
916,12/14/2011,303
917,12/15/2011,326
918,12/16/2011,363
919,12/17/2011,54
920,12/19/2011,478
921,12/20/2011,351
922,12/21/2011,322
923,12/22/2011,319
924,12/23/2011,275
925,12/26/2011,325
926,12/27/2011,353
927,12/28/2011,338
928,12/29/2011,468
929,12/30/2011,351
930,01/02/2012,460
931,01/03/2012,299
932,01/04/2012,335
933,01/05/2012,379
934,01/06/2012,372
935,01/07/2012,43
936,01/09/2012,441
937,01/10/2012,375
938,01/11/2012,345
939,01/12/2012,349
940,01/13/2012,362
941,01/14/2012,40
942,01/16/2012,417
943,01/17/2012,308
944,01/18/2012,289
945,01/19/2012,322
946,01/20/2012,371
947,01/21/2012,41
948,01/23/2012,373
949,01/24/2012,370
950,01/25/2012,305
951,01/26/2012,306
952,01/27/2012,355
953,01/28/2012,58
954,01/30/2012,513
955,01/31/2012,379
956,02/01/2012,404
957,02/02/2012,402
958,02/03/2012,364
959,02/04/2012,37
960,02/06/2012,439
961,02/07/2012,361
962,02/08/2012,352
963,02/09/2012,327
964,02/10/2012,368
965,02/11/2012,48
966,02/13/2012,405
967,02/14/2012,290
968,02/15/2012,299
969,02/16/2012,328
970,02/17/2012,312
971,02/18/2012,62
972,02/20/2012,462
973,02/21/2012,306
974,02/22/2012,319
975,02/23/2012,323
976,02/24/2012,328
977,02/25/2012,33
978,02/27/2012,530
979,02/28/2012,325
980,02/29/2012,300
981,03/01/2012,370
982,03/02/2012,364
983,03/03/2012,50
984,03/05/2012,469
985,03/06/2012,315
986,03/07/2012,358
987,03/08/2012,304
988,03/09/2012,391
989,03/10/2012,45
990,03/12/2012,375
991,03/13/2012,335
992,03/14/2012,339
993,03/15/2012,335
994,03/16/2012,287
995,03/17/2012,48
996,03/19/2012,389
997,03/20/2012,270
998,03/21/2012,256
999,03/22/2012,289
1000,03/23/2012,287
1001,03/24/2012,47
1002,03/26/2012,474
1003,03/27/2012,322
1004,03/28/2012,293
1005,03/29/2012,289
1006,03/30/2012,346
1007,03/31/2012,59
1008,04/02/2012,445
1009,04/03/2012,408
1010,04/04/2012,302
1011,04/05/2012,322
1012,04/06/2012,347
1013,04/07/2012,39
1014,04/09/2012,526
1015,04/10/2012,377
1016,04/11/2012,310
1017,04/12/2012,316
1018,04/13/2012,301
1019,04/14/2012,71
1020,04/16/2012,480
1021,04/17/2012,328
1022,04/18/2012,325
1023,04/19/2012,317
1024,04/20/2012,316
1025,04/21/2012,48
1026,04/23/2012,410
1027,04/24/2012,318
1028,04/25/2012,331
1029,04/26/2012,321
1030,04/27/2012,393
1031,04/28/2012,35
1032,04/30/2012,472
1033,05/01/2012,401
1034,05/02/2012,397
1035,05/03/2012,341
1036,05/04/2012,317
1037,05/05/2012,45
1038,05/07/2012,525
1039,05/08/2012,417
1040,05/09/2012,346
1041,05/10/2012,252
1042,05/11/2012,334
1043,05/12/2012,36
1044,05/14/2012,404
1045,05/15/2012,342
1046,05/16/2012,305
1047,05/17/2012,343
1048,05/18/2012,308
1049,05/19/2012,57
1050,05/21/2012,457
1051,05/22/2012,331
1052,05/23/2012,312
1053,05/24/2012,366
1054,05/25/2012,311
1055,05/26/2012,65
1056,05/29/2012,557
1057,05/30/2012,367
1058,05/31/2012,404
1059,06/01/2012,344
1060,06/02/2012,81
1061,06/04/2012,447
1062,06/05/2012,383
1063,06/06/2012,274
1064,06/07/2012,313
1065,06/08/2012,250
1066,06/09/2012,56
1067,06/11/2012,462
1068,06/12/2012,337
1069,06/13/2012,250
1070,06/14/2012,308
1071,06/15/2012,359
1072,06/16/2012,54
1073,06/18/2012,439
1074,06/19/2012,267
1075,06/20/2012,281
1076,06/21/2012,346
1077,06/22/2012,370
1078,06/23/2012,54
1079,06/25/2012,423
1080,06/26/2012,341
1081,06/27/2012,330
1082,06/28/2012,348
1083,06/29/2012,366
1084,06/30/2012,77
1085,07/02/2012,514
1086,07/03/2012,380
1087,07/04/2012,6
1088,07/05/2012,412
1089,07/06/2012,292
1090,07/07/2012,30
1091,07/09/2012,525
1092,07/10/2012,346
1093,07/11/2012,341
1094,07/12/2012,292
1095,07/13/2012,321
1096,07/14/2012,42
1097,07/16/2012,416
1098,07/17/2012,296
1099,07/18/2012,344
1100,07/19/2012,285
1101,07/20/2012,279
1102,07/21/2012,49
1103,07/23/2012,348
1104,07/24/2012,364
1105,07/25/2012,283
1106,07/26/2012,340
1107,07/27/2012,329
1108,07/28/2012,48
1109,07/30/2012,459
1110,07/31/2012,349
1111,08/01/2012,324
1112,08/02/2012,341
1113,08/03/2012,289
1114,08/04/2012,64
1115,08/06/2012,482
1116,08/07/2012,312
1117,08/08/2012,353
1118,08/09/2012,285
1119,08/10/2012,275
1120,08/11/2012,47
1121,08/13/2012,457
1122,08/14/2012,300
1123,08/15/2012,309
1124,08/16/2012,356
1125,08/17/2012,256
1126,08/18/2012,51
1127,08/20/2012,419
1128,08/21/2012,295
1129,08/22/2012,345
1130,08/23/2012,340
1131,08/24/2012,329
1132,08/25/2012,52
1133,08/27/2012,475
1134,08/28/2012,410
1135,08/29/2012,340
1136,08/30/2012,371
1137,08/31/2012,406
1138,09/01/2012,56
1139,09/04/2012,508
1140,09/05/2012,376
1141,09/06/2012,384
1142,09/07/2012,382
1143,09/08/2012,52
1144,09/10/2012,427
1145,09/11/2012,359
1146,09/12/2012,297
1147,09/13/2012,297
1148,09/14/2012,354
1149,09/15/2012,38
1150,09/17/2012,443
1151,09/18/2012,332
1152,09/19/2012,272
1153,09/20/2012,362
1154,09/21/2012,296
1155,09/22/2012,74
1156,09/24/2012,462
1157,09/25/2012,349
1158,09/26/2012,312
1159,09/27/2012,356
1160,09/28/2012,327
1161,09/29/2012,46
1162,10/01/2012,471
1163,10/02/2012,375
1164,10/03/2012,374
1165,10/04/2012,301
1166,10/05/2012,337
1167,10/06/2012,45
1168,10/08/2012,417
1169,10/09/2012,311
1170,10/10/2012,317
1171,10/11/2012,329
1172,10/12/2012,309
1173,10/13/2012,51
1174,10/15/2012,446
1175,10/16/2012,348
1176,10/17/2012,299
1177,10/18/2012,319
1178,10/19/2012,394
1179,10/20/2012,80
1180,10/21/2012,2
1181,10/22/2012,474
1182,10/23/2012,376
1183,10/24/2012,304
1184,10/25/2012,376
1185,10/26/2012,366
1186,10/27/2012,52
1187,10/29/2012,446
1188,10/30/2012,396
1189,10/31/2012,285
1190,11/01/2012,317
1191,11/02/2012,327
1192,11/03/2012,56
1193,11/05/2012,452
1194,11/06/2012,308
1195,11/07/2012,284
1196,11/08/2012,347
1197,11/09/2012,327
1198,11/10/2012,94
1199,11/12/2012,463
1200,11/13/2012,383
1201,11/14/2012,371
1202,11/15/2012,316
1203,11/16/2012,324
1204,11/17/2012,56
1205,11/19/2012,481
1206,11/20/2012,400
1207,11/21/2012,285
1208,11/23/2012,312
1209,11/24/2012,60
1210,11/26/2012,513
1211,11/27/2012,379
1212,11/28/2012,325
1213,11/29/2012,338
1214,11/30/2012,439
1215,12/01/2012,54
1216,12/03/2012,520
1217,12/04/2012,335
1218,12/05/2012,326
1219,12/06/2012,375
1220,12/07/2012,354
1221,12/08/2012,59
1222,12/10/2012,420
1223,12/11/2012,358
1224,12/12/2012,348
1225,12/13/2012,342
1226,12/14/2012,281
1227,12/15/2012,38
1228,12/17/2012,470
1229,12/18/2012,381
1230,12/19/2012,419
1231,12/20/2012,394
1232,12/21/2012,421
1233,12/22/2012,65
1234,12/24/2012,218
1235,12/26/2012,461
1236,12/27/2012,417
1237,12/28/2012,441
1238,12/29/2012,71
1239,12/31/2012,458
1240,01/02/2013,459
1241,01/03/2013,412
1242,01/04/2013,448
1243,01/05/2013,69
1244,01/06/2013,5
1245,01/07/2013,474
1246,01/08/2013,335
