,Date,Total
850,05/11/2011,273
851,05/12/2011,354
852,05/13/2011,345
853,05/14/2011,138
854,05/15/2011,119
855,05/16/2011,418
856,05/17/2011,376
857,05/18/2011,335
858,05/19/2011,312
859,05/20/2011,288
860,05/21/2011,129
861,05/22/2011,140
862,05/23/2011,412
863,05/24/2011,383
864,05/25/2011,334
865,05/26/2011,312
866,05/27/2011,404
867,05/28/2011,135
868,05/29/2011,100
869,05/30/2011,95
870,05/31/2011,519
871,06/01/2011,434
872,06/02/2011,326
873,06/03/2011,389
874,06/04/2011,178
875,06/05/2011,162
876,06/06/2011,362
877,06/07/2011,335
878,06/08/2011,384
879,06/09/2011,294
880,06/10/2011,312
881,06/11/2011,117
882,06/12/2011,87
883,06/13/2011,412
884,06/14/2011,324
885,06/15/2011,355
886,06/16/2011,312
887,06/17/2011,367
888,06/18/2011,122
889,06/19/2011,120
890,06/20/2011,445
891,06/21/2011,336
892,06/22/2011,329
893,06/23/2011,311
894,06/24/2011,295
895,06/25/2011,125
896,06/26/2011,115
897,06/27/2011,462
898,06/28/2011,348
899,06/29/2011,359
900,06/30/2011,352
901,07/01/2011,418
902,07/02/2011,157
903,07/03/2011,108
904,07/04/2011,100
905,07/05/2011,401
906,07/06/2011,384
907,07/07/2011,313
908,07/08/2011,326
909,07/09/2011,164
910,07/10/2011,155
911,07/11/2011,394
912,07/12/2011,304
913,07/13/2011,367
914,07/14/2011,337
915,07/15/2011,334
916,07/16/2011,128
917,07/17/2011,132
918,07/18/2011,425
919,07/19/2011,299
920,07/20/2011,312
921,07/21/2011,296
922,07/22/2011,354
923,07/23/2011,107
924,07/24/2011,133
925,07/25/2011,448
926,07/26/2011,361
927,07/27/2011,327
928,07/28/2011,301
929,07/29/2011,336
930,07/30/2011,136
931,07/31/2011,162
932,08/01/2011,448
933,08/02/2011,331
934,08/03/2011,343
935,08/04/2011,342
936,08/05/2011,302
937,08/06/2011,158
938,08/07/2011,138
939,08/08/2011,348
940,08/09/2011,312
941,08/10/2011,314
942,08/11/2011,302
943,08/12/2011,329
944,08/13/2011,123
945,08/14/2011,149
946,08/15/2011,388
947,08/16/2011,346
948,08/17/2011,354
949,08/18/2011,310
950,08/19/2011,291
951,08/20/2011,111
952,08/21/2011,121
953,08/22/2011,413
954,08/23/2011,331
955,08/24/2011,359
956,08/25/2011,322
957,08/26/2011,331
958,08/27/2011,141
959,08/28/2011,103
960,08/29/2011,401
961,08/30/2011,364
962,08/31/2011,374
963,09/01/2011,393
964,09/02/2011,371
965,09/03/2011,145
966,09/04/2011,146
967,09/05/2011,112
968,09/06/2011,491
969,09/07/2011,351
970,09/08/2011,368
971,09/09/2011,313
